id,strate,split,source,declencheur,contexte,texte,annotation,motif,doute,note
alea-001,aleatoire,dev,post,,Bruno Meunier est président de la Fédération régionale des chasseurs de Nouvelle-Aquitaine qui compte 150 000 adhérents,"Dans certaines régions, la chasse est déjà de nouveau ouverte. Faut-il avoir une âme vraiment pourrie pour aller tuer des animaux qui souffrent de la chaleur, de la sécheresse, des incendies, depuis deux mois ? Mais quand on a le vice dans la peau, difficile de s'en défaire, visiblement...On dit que lorsque les chiens ont goûté une fois au sang, ils ne peuvent plus s'en passer. Certains humains semblent agir selon le même instinct bestial...avec le vice en plus. Et après, ils s'étonnent d'être détestés par la population !",acceptable,,non,
alea-002,aleatoire,dev,article,,France : Moscou accuse les candidats à la présidentielle d’agiter la « menace russe » sans raison,"Faisons un peu de conspirationite: le chef de la CIA est actuellement à Moscou (voir les autres infos). Si deux chefs de services secrets de gouvernements d'extrême droite se rencontrent, ce n'est sûrement pas pour renforcer la démocratie...",acceptable,,non,
alea-003,aleatoire,dev,article,,Présidentielle 2027 : Bruno Retailleau accuse LFI d’être un « parti de collabos » avec l’islamisme,Non pas de génocide à Gaza,acceptable,,oui," L'article 24 bis de la loi de 1881 est arrimé à l'article 6 du statut du Tribunal militaire international de Nuremberg : il ne couvre que les crimes commis par des membres d'une organisation déclarée criminelle à Nuremberg, ou par une personne condamnée pour ces faits par une juridiction française ou internationale.  La qualification de ce qui se passe à Gaza fait l'objet d'une controverse juridique et politique en cours. Nier quelque chose qui est encore débattu devant les juridictions,"
alea-004,aleatoire,test,article,,"Raphaël Glucksmann en Charente-Maritime : « dès la prise du pouvoir, nous organiserons les cent jours de la révolution écologique »","Ce qui m'inquiète le plus, c'est qu'on didait à peu près les mêmes choses de Macron il y a 10 ans, et de Giscard il y a 53 ans, et on voit le résultat.
Alors 10 ans de glucksmann, ça serait insupportable.",acceptable,,non,
alea-005,aleatoire,test,post,,Pays Royannais : la section locale du Parti socialiste prend position contre le projet « d’usine d’élevage de saumons » au Verdon-sur-Mer,"j'ai juste une question : existe-il un sujet, un projet qui trouve un agrément auprès d'eux ?",acceptable,,non,
alea-006,aleatoire,dev,post,,C’était le dernier rendez-vous de la saison en Béarn chez les jeunes.,https://l.larepubliquedespyrenees.fr/oD1,acceptable,,non,
alea-007,aleatoire,test,article,,Ouverture de la chasse : des associations maintiennent la pression,"Votre post du 26 août 2026 à 15:27. ""niveau chasse , faune et environnement"" son niveau n'est même pas celui de maternelle, peut-être du ouin ouin du berceau.",acceptable,,non,
alea-008,aleatoire,test,post,,Bruno Meunier est président de la Fédération régionale des chasseurs de Nouvelle-Aquitaine qui compte 150 000 adhérents,Robert Roubaud C'est vous que l'on devrait confiner !!!,acceptable,,non,
alea-009,aleatoire,dev,post,,"🔥 INCENDIE - « Avouez que c’était un échec » : au Porge face à la préfète, les sinistrés veulent ouvrir le temps des responsabilités
🔗https://l.sudouest.fr/A18C",Elle devrait s'excuser devant la population pour la souffrance et les pertes endurées mais elle n'affiche que du mépris. C'est tellement inadmissible. Lorsqu'on fait preuve d'autant d'incompétence dans nos métiers On se fait virer !,acceptable,,non,
alea-010,aleatoire,test,article,,"« Personne n’est prédestiné à aller à la guerre » : Anastasia Fomitchova, de Saintes à Kiev, en passant par le front, récit d’une vie dédiée à sa patrie","===================== >Ano3021180 - Il y a 1 heure - 28 août 2026 à 19h14  vous sources ( à part celles du FSB) que l'on sache sur quoi vous vous basez pour insulter les Ukrainiens . Par contre pour les provocations de la Russie , la vous n'avez plus de souvenir ? Abattu le 17 juillet 201 à l'est de la région de Donetsk par un missile BOUK fourni par la Russie aux (non pas russophones ) mais russophiles du Dombas et aux Russes qui avaient amenée l'installation de tir  depuis la Russie avec eux.  Le 17 novembre 2022, les Russes Igor Guirkine et Sergueï Doubinski et l’Ukrainien Leonid Khartchenko, sont condamnés par contumace à la prison à perpétuité pour meurtre par  le tribunal de Schiphol dans la banlieue d'Amsterdam,. Le Russe Poulatov est acquitté. Source wikipedia .",acceptable,,non,
alea-011,aleatoire,dev,post,,"Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/c2dZ","Davy Croquette et finalement, peut-être que leurs médecins les arrêtent légitimement ? Peut-être que les conditions de travail sont inacceptables et laissent des traces ? Peut-être qu'il y en a plein le cul de lire et d'entendre que les ""jeunes"" (et les moins jeunes également) ne ""veulent plus rien foutre"". Peut-être que la conscience d'évoluer, d'être prisonnier, d'aller droit dans le mur, les empêche de poursuivre réellement. Pas par ""légèreté"", manque de courage ou que sais-je, mais par conscience de ce qui se déroule, et impossibilité psychologique de se résoudre à être un chaînon actif de cette course vers l'abîme, vers la destruction du vivant, des conditions d'existence de plus en plus dures au profit de quelques-un.es, qui ""dégueulassent"" tout : la planète et le vivant, êtres humains y-compris. Le capitalisme est une drogue qu'il faut abattre.",acceptable,,non,
alea-012,aleatoire,dev,post,,"« Face à la détresse du monde agricole, la bobologie interne à la CR, je n’en ai rien à foutre » : huit mois après son élection, Bertrand Venteau a rendez-vous devant le tribunal",je vais lui envoyer un panier d'oranges,acceptable,,non,
alea-013,aleatoire,dev,article,,Pétrole : les États-Unis et le Venezuela annoncent un accord « historique »,De ki kelle côse la harpie à deux balles ?,acceptable,,non,
alea-014,aleatoire,test,article,,"À La Rochefoucauld, faut-il s’inquiéter des nouveaux aménagements dans la Tardoire ? Le syndicat veut rassurer","Cela peut poser des questions en effet , mais si on veut conserver un peu de faune et de flore aquatique ces îlots rocheux peuvent être une solution . A condition d'avoir un peu d'eau bien entendu !.",acceptable,,non,
alea-015,aleatoire,test,article,,Ouverture de la chasse : des associations maintiennent la pression,"Votre post du 26 août 2026 à 21:38. Je mélange les certifications agricoles, c'est la meilleure. HVE (label environnemental), CEC (certification environnemental du Cognaçais pour les vignes, le centaure (certification Rémy Martin pour les vignobles) en fait vous n'y connaissez rien. Il n'y a pas de label de gestion forestière. Vous faites style. Vous seriez donc un fonctionnaire qui ne connait pas la vie des faisans et des perdrix. Vous pensez que l'on vous a attendu pour le respect des règles ? C'est mal connaitre le monde agricole. Fin du débat pour moi !!! j'en ai connu d'autres sur ce site qui ont jeté l'éponge étant en manque d'argument.",acceptable,,non,
alea-016,aleatoire,test,post,,"🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/Px7C",Et bien on est pas dans la merde elle pourra être toujours aussi nul  à chier qu' à auch bienvenue dans le monde des bisous nourses le super avantage des fonctionnaires,acceptable,,non,
